id;liste_article;heure_de_commande;paiement
1;behind although;incidentally eek politely;keyboard
2;potentially concerned dramatic;bountiful virus suffuse;killer
3;besides if hence;well-documented;flustered huzzah than
4;obnoxiously phooey junior;modulo truly pfft;unless scale best
5;hmph descry and;harvest um zowie;an how
6;whoa doctrine;hmph;er
7;to oasis plant;localise attendant instead;princess mechanically annual
8;who fashion;phew;and
9;lost dark;brr tensely;appease
10;among hm;excluding meh furthermore;smoothly against
